"TN conc stream","Sediment Yield","Crop Yield","NSWRM impl COST","linE","pond_share_con","grassslope_share_con","buffer_share_con","notill_share_con","lu_share","pond_moran","grassslope_moran","buffer_moran","notill_moran","pond_channel_frac","grassslope_channel_frac","buffer_channel_frac","notill_channel_frac"
-0.907,-0.378,15880.412,48972.96718,0.00153030937914659,0,0.998956558586662,0.98903744447915,0.702387176126438,0.0688964380925359,0,0.356739530423316,0.310607502454293,0.532682997195722,0,0.000349975654658264,0.000331795081694241,1.9806701268988e-05
-0.914,-0.579,19332.211,45808.82216,0.000915566729520218,0,0.351516971328787,0.577726837710003,0.420300305405887,0.0574806713866766,0,0.277337302852711,0.642915648506239,0.268591133652114,0,0.000856771141947882,0.000648666177372086,3.40983239584978e-07
-0.906,-0.285,13120.694,105032.31142,0.00187849287903371,0,0.667868743794397,0.542958476786093,0.228563164873031,0.119314411511649,0,0.513656818066476,0.623264534459803,0.308672993274374,0,0.000581770857886467,0.000609402760719188,6.37446117927649e-07
-0.911,-0.451,18196.135,46952.34104,0.00150804144737411,0.476286177373104,0.983275856736717,0.981864659416236,0.718287413760998,0.0667050819230857,0.00106084530518792,0.373219932163784,0.352248979192073,0.399653092413439,0.676277668800652,0.00035472208008985,0.000330721731496261,1.96902599841529e-05
-0.916,-0.314,15743.166,17509.3094200001,0.00153030937914659,0,0.998956558586662,0.98903744447915,0.702387176126438,0.0688964380925359,0,0.356739530423316,0.310607502454293,0.532682997195722,0,0.000349975654658264,0.000331795081694241,1.9806701268988e-05
-0.915,-0.361,17040.316,105032.31142,0.00194573643410853,0,1,0.990542264668357,0.571551257426359,0.0834551558180623,0,0.358142138757297,0.312353420301042,0.32077372058767,0,0.000349610475566534,0.000328760188357806,2.57219999144451e-05
-0.897,-0.477,16202.74,26934.49334,0.00199335548172757,0,0.959209080179045,0.98903744447915,0.517778625716059,0.089926599392211,0,0.336340263719755,0.310607502454293,0.462058816267472,0,0.00036362213870898,0.000331795081694241,2.68685733279641e-05
-0.906,-0.286,13124.238,104273.68172,0.00410758177349215,0,0.986755610372837,0.990542264668357,0.221535028088263,0.189428781037763,0,0.351484977858687,0.312353420301042,0.295572064755126,0,0.000354303002578761,0.000328760188357806,5.87415824101639e-05
-0.896,-0.518,18359.698,261.26686,0.00184675420555819,0,0.998956558586662,0.983564181250173,0.533924521482545,0.088433921043637,0,0.356739530423316,0.292678254500406,0.80478578582884,0,0.000349975654658264,0.000331092640131338,1.57532116575374e-05
-0.911,-0.296,14383.14,104975.41254,9.81257972721028e-06,0.0188690831746953,0.00887652217584192,0,0.477564956553403,0.000378469207583885,0.776704595473417,0.0895142130773546,0.000950367243885652,0.21322362067723,1,0.018882936375884,0,2.83637180412086e-07
-0.901,-0.58,17460.221,32852.87602,1.04052858852297e-05,0.0188690831746953,0.00330457734044994,0,0.396929437912914,0.000169552704027542,0.776704595473417,0.0929579117036883,0.000950367243885652,0.383819655830134,1,0,0,2.99984018675944e-07
-0.91,-0.43,18066.857,70621.60306,0.00205432202696225,0,1,0.990542264668357,0.499401951183251,0.0943741816201642,0,0.358142138757297,0.312353420301042,0.6829452681919,0,0.000349610475566534,0.000328760188357806,1.6813375282785e-05
-0.909,-0.478,17595.184,64148.02834,0.000306056341174631,0,0,0.279254657398633,0.332118876851284,0.0261797505724989,0,0.0772204348664256,0.332136145425057,0.199113152740638,0,0,0.00175125816689206,2.57513937152755e-07
-0.906,-0.285,13121.138,104448.64662,0.00172330788654071,0.0188690831746953,0.998956558586662,0.98283963819611,0.59805526287684,0.0796681671833476,0.776704595473417,0.356739530423316,0.291265379123758,0.869292707406209,1,0.000349975654658264,0.000336438056647172,2.16535867823255e-05
-0.917,-0.39,17961.772,105032.31142,6.44205372672808e-06,0,0.0077809202317774,0,0.338001977235764,0.000468744314582509,0,0.0536935124662339,0.000950367243885652,0.197008809709998,0,0,0,2.84510657757982e-07
-0.896,-0.509,17296.37,2195.46298,0.00128625658791877,0,0.676483540121373,0.542958476786093,0.427570997153712,0.0678879321058667,0,0.50089198500227,0.623264534459803,0.198982782416833,0,0.000574362196548214,0.000609402760719188,3.40754408319217e-07
-0.907,-0.283,13107.751,105664.49672,0.00194686923879967,0,1,0.986442206846086,0.571414572241219,0.0832806998706104,0,0.358142138757297,0.299198750360487,0.320077416943911,0,0.000349610475566534,0.00033012665034876,2.47513217327057e-05
