-67131.604, -501.985, 19495.388, 0.9
-37737.604, -458.376, 11923.155, 0.851
-50408.004, -472.69, 15534.149, 0.916
-51588.004, -478.436, 16305.902, 0.91
-67120.404, -501.901, 19492.999, 0.9
-41773.804, -455.057, 13223.595, 0.9
-66904.004, -499.799, 19455.197, 0.902
-67077.104, -501.633, 19456.449, 0.905
-52488.804, -487.078, 16612.01, 0.911
-67189.404, -499.472, 19279.916, 0.916
-66578.204, -503.199, 19337.451, 0.912
-37687.904, -458.541, 11957.652, 0.85
-53177.904, -466.402, 16384.6, 0.916
-66723.504, -501.52, 19440.726, 0.898
-52307.604, -476.674, 16577.33, 0.911
-52220.304, -497.724, 16569.808, 0.909
-51697.504, -490.126, 16473.891, 0.909
-41909.804, -466.358, 13297.878, 0.901
-49309.604, -488.853, 15803.206, 0.907
-51783.904, -496.983, 16495.716, 0.908
-48785.604, -471.78, 15574.661, 0.911
-52990.804, -481.64, 16902.737, 0.902
-52047.904, -499.202, 16585.38, 0.907
-51440.204, -479.696, 16344.609, 0.911
-41781.304, -454.444, 13224.652, 0.9
-37748.004, -458.223, 11997.687, 0.851
-43782.204, -455.509, 13978.573, 0.905
-66722.304, -489.795, 19213.604, 0.915
-67036.904, -497.201, 19384.428, 0.909
-52333.904, -476.966, 16573.33, 0.913
-52884.504, -474.09, 16616.393, 0.912
-65103.304, -498.877, 19169.495, 0.903
-43781.904, -457.924, 13984.211, 0.905
-44299.504, -473.538, 14083.314, 0.908
-52088.504, -465.833, 16454.213, 0.91
-54734.704, -466.166, 16676.515, 0.917
-42123.204, -467.952, 13472.714, 0.901
-39327.104, -465.369, 12702.564, 0.883
-49904.304, -462.076, 15684.965, 0.912
-43734.904, -463.409, 13954.094, 0.905
-44252.504, -460.07, 14207.983, 0.906
-64246.704, -497.715, 19030.64, 0.9
-39513.804, -467.423, 12777.667, 0.884
-41682.704, -461.905, 13284.68, 0.9
-41856.504, -469.666, 13452.323, 0.901
-53685.204, -471.439, 16423.381, 0.917
-38416.604, -458.263, 12194.07, 0.86
-40277.404, -466.981, 13003.772, 0.889
-46883.704, -476.731, 14608.569, 0.914
